id,company_id/id,code,name,type,user_type/id,parent_id/id,currency_id/id
__account__.account_account_H1,helom.base_company,_cust,Debonix,View,l10n_fr.account_type_view,,
__account__.account_account_H2,helom.base_company,Classes 1 à 5,Comptes de bilan,View,l10n_fr.account_type_view,__account__.account_account_H1,
__account__.account_account_H3,helom.base_company,Classe 1,Comptes de capitaux,View,l10n_fr.account_type_view,__account__.account_account_H2,
__account__.account_account_H4,helom.base_company,10,Capital et réserves,View,l10n_fr.account_type_view,__account__.account_account_H3,
__account__.account_account_H1349,helom.base_company,101000,Capital,View,l10n_fr.account_type_view,__account__.account_account_H4,
__account__.account_account_H6,helom.base_company,101100,Capital souscrit - non appelé,Regular,l10n_fr.account_type_equity,__account__.account_account_H1349,
__account__.account_account_H7,helom.base_company,101200,Capital souscrit - appelé non versé,Regular,l10n_fr.account_type_equity,__account__.account_account_H1349,
__account__.account_account_H8,helom.base_company,101300,Capital souscrit - appelé versé,Regular,l10n_fr.account_type_equity,__account__.account_account_H1349,
__account__.account_account_H9,helom.base_company,101310,Capital non amorti,Regular,l10n_fr.account_type_equity,__account__.account_account_H1349,
__account__.account_account_H10,helom.base_company,101320,Capital amorti,Regular,l10n_fr.account_type_equity,__account__.account_account_H1349,
__account__.account_account_H1408,helom.base_company,101330,Capital RMD,Regular,l10n_fr.account_type_equity,__account__.account_account_H1349,
__account__.account_account_H1460,helom.base_company,101340,Capital HELOM SARL,Regular,l10n_fr.account_type_equity,__account__.account_account_H1349,
__account__.account_account_H11,helom.base_company,101800,Capital souscrit soumis à des réglementations particulières,Regular,l10n_fr.account_type_equity,__account__.account_account_H1349,
__account__.account_account_H12,helom.base_company,104000,Primes liées au capital social,View,l10n_fr.account_type_view,__account__.account_account_H4,
__account__.account_account_H13,helom.base_company,104100,Primes d'émission,Regular,l10n_fr.account_type_equity,__account__.account_account_H12,
__account__.account_account_H14,helom.base_company,104200,Primes de fusion,Regular,l10n_fr.account_type_equity,__account__.account_account_H12,
__account__.account_account_H15,helom.base_company,104300,Primes d'apport,Regular,l10n_fr.account_type_equity,__account__.account_account_H12,
__account__.account_account_H16,helom.base_company,104400,Primes de conversion d'obligations en actions,Regular,l10n_fr.account_type_equity,__account__.account_account_H12,
__account__.account_account_H17,helom.base_company,104500,Bons de souscription d'actions,Regular,l10n_fr.account_type_equity,__account__.account_account_H12,
__account__.account_account_H18,helom.base_company,105000,Écarts de réévaluation,View,l10n_fr.account_type_view,__account__.account_account_H4,
__account__.account_account_H19,helom.base_company,105100,Réserve spéciale de réévaluation,Regular,l10n_fr.account_type_equity,__account__.account_account_H18,
__account__.account_account_H20,helom.base_company,105200,Écart de réévaluation libre,Regular,l10n_fr.account_type_equity,__account__.account_account_H18,
__account__.account_account_H21,helom.base_company,105300,Réserve de réévaluation,Regular,l10n_fr.account_type_equity,__account__.account_account_H18,
__account__.account_account_H22,helom.base_company,105500,Écarts de réévaluation (autres opérations légales),Regular,l10n_fr.account_type_equity,__account__.account_account_H18,
__account__.account_account_H23,helom.base_company,105700,Autres écarts de réévaluation en France,Regular,l10n_fr.account_type_equity,__account__.account_account_H18,
__account__.account_account_H24,helom.base_company,105800,Autres écarts de réévaluation à l'étranger,Regular,l10n_fr.account_type_equity,__account__.account_account_H18,
__account__.account_account_H1350,helom.base_company,106000,Réserves,View,l10n_fr.account_type_view,__account__.account_account_H4,
__account__.account_account_H26,helom.base_company,106100,Réserve légale,Regular,l10n_fr.account_type_equity,__account__.account_account_H1350,
__account__.account_account_H27,helom.base_company,106110,Réserve légale proprement dite,Regular,l10n_fr.account_type_equity,__account__.account_account_H1350,
__account__.account_account_H28,helom.base_company,106120,Plus-values nettes à long terme,Regular,l10n_fr.account_type_equity,__account__.account_account_H1350,
__account__.account_account_H29,helom.base_company,106200,Réserves indisponibles,Regular,l10n_fr.account_type_equity,__account__.account_account_H1350,
__account__.account_account_H30,helom.base_company,106300,Réserves statutaires ou contractuelles,Regular,l10n_fr.account_type_equity,__account__.account_account_H1350,
__account__.account_account_H31,helom.base_company,106400,Réserves réglementées,Regular,l10n_fr.account_type_equity,__account__.account_account_H1350,
__account__.account_account_H32,helom.base_company,106410,Plus-values nettes à long terme,Regular,l10n_fr.account_type_equity,__account__.account_account_H1350,
__account__.account_account_H33,helom.base_company,106430,Réserves consécutives à l'octroi de subventions d'investissement,Regular,l10n_fr.account_type_equity,__account__.account_account_H1350,
__account__.account_account_H34,helom.base_company,106480,Autres réserves réglementées,Regular,l10n_fr.account_type_equity,__account__.account_account_H1350,
__account__.account_account_H35,helom.base_company,106800,Autres réserves,Regular,l10n_fr.account_type_equity,__account__.account_account_H1350,
__account__.account_account_H36,helom.base_company,106810,Réserve de propre assureur,Regular,l10n_fr.account_type_equity,__account__.account_account_H1350,
__account__.account_account_H37,helom.base_company,106880,Réserves diverses,Regular,l10n_fr.account_type_equity,__account__.account_account_H1350,
__account__.account_account_H38,helom.base_company,107000,Écarts d'équivalence,Regular,l10n_fr.account_type_equity,__account__.account_account_H4,
__account__.account_account_H39,helom.base_company,108000,Compte de l'exploitant,Regular,l10n_fr.account_type_equity,__account__.account_account_H4,
__account__.account_account_H40,helom.base_company,109000,Actionnaires: capital souscrit - non appelé,Regular,l10n_fr.account_type_asset,__account__.account_account_H4,
__account__.account_account_H41,helom.base_company,11,Report à nouveau (solde créditeur ou débiteur),View,l10n_fr.account_type_view,__account__.account_account_H3,
__account__.account_account_H42,helom.base_company,110000,Report à nouveau (solde créditeur),Regular,l10n_fr.account_type_equity,__account__.account_account_H41,
__account__.account_account_H43,helom.base_company,119000,Report à nouveau (solde débiteur),Regular,l10n_fr.account_type_equity,__account__.account_account_H41,
__account__.account_account_H44,helom.base_company,12,Résultat de l'exercice (bénéfice ou perte),View,l10n_fr.account_type_view,__account__.account_account_H3,
__account__.account_account_H45,helom.base_company,120000,Résultat de l'exercice (bénéfice),Regular,l10n_fr.account_type_equity,__account__.account_account_H44,
__account__.account_account_H46,helom.base_company,129000,Résultat de l'exercice (perte),Regular,l10n_fr.account_type_equity,__account__.account_account_H44,
__account__.account_account_H47,helom.base_company,13,Subventions d'investissement,View,l10n_fr.account_type_view,__account__.account_account_H3,
__account__.account_account_H48,helom.base_company,131000,Subventions d'équipement,View,l10n_fr.account_type_view,__account__.account_account_H47,
__account__.account_account_H49,helom.base_company,131100,État,Regular,l10n_fr.account_type_equity,__account__.account_account_H48,
__account__.account_account_H50,helom.base_company,131200,Régions,Regular,l10n_fr.account_type_equity,__account__.account_account_H48,
__account__.account_account_H51,helom.base_company,131300,Départements,Regular,l10n_fr.account_type_equity,__account__.account_account_H48,
__account__.account_account_H52,helom.base_company,131400,Communes,Regular,l10n_fr.account_type_equity,__account__.account_account_H48,
__account__.account_account_H53,helom.base_company,131500,Collectivités publiques,Regular,l10n_fr.account_type_equity,__account__.account_account_H48,
__account__.account_account_H54,helom.base_company,131600,Entreprises publiques,Regular,l10n_fr.account_type_equity,__account__.account_account_H48,
__account__.account_account_H55,helom.base_company,131700,Entreprises et organismes privés,Regular,l10n_fr.account_type_equity,__account__.account_account_H48,
__account__.account_account_H56,helom.base_company,131800,Autres,Regular,l10n_fr.account_type_equity,__account__.account_account_H48,
__account__.account_account_H57,helom.base_company,138000,Autres subventions d'investissement (même ventilation que celle du compte 131),Regular,l10n_fr.account_type_equity,__account__.account_account_H47,
__account__.account_account_H58,helom.base_company,139000,Subventions d'investissement inscrites au compte de résultat,View,l10n_fr.account_type_view,__account__.account_account_H47,
__account__.account_account_H59,helom.base_company,139100,Subventions d'équipement,View,l10n_fr.account_type_view,__account__.account_account_H58,
__account__.account_account_H60,helom.base_company,139110,Etat,Regular,l10n_fr.account_type_equity,__account__.account_account_H59,
__account__.account_account_H61,helom.base_company,139120,Régions,Regular,l10n_fr.account_type_equity,__account__.account_account_H59,
__account__.account_account_H62,helom.base_company,139130,Départements,Regular,l10n_fr.account_type_equity,__account__.account_account_H59,
__account__.account_account_H63,helom.base_company,139140,Communes,Regular,l10n_fr.account_type_equity,__account__.account_account_H59,
__account__.account_account_H64,helom.base_company,139150,Collectivités publiques,Regular,l10n_fr.account_type_equity,__account__.account_account_H59,
__account__.account_account_H65,helom.base_company,139160,Entreprises publiques,Regular,l10n_fr.account_type_equity,__account__.account_account_H59,
__account__.account_account_H66,helom.base_company,139170,Entreprises et organismes privés,Regular,l10n_fr.account_type_equity,__account__.account_account_H59,
__account__.account_account_H67,helom.base_company,139180,Autres,Regular,l10n_fr.account_type_equity,__account__.account_account_H59,
__account__.account_account_H68,helom.base_company,139800,Autres subventions d'investissement (même ventilation que celle du compte 1391),Regular,l10n_fr.account_type_equity,__account__.account_account_H58,
__account__.account_account_H69,helom.base_company,14,Provisions réglementées,View,l10n_fr.account_type_view,__account__.account_account_H3,
__account__.account_account_H70,helom.base_company,142000,Provisions réglementées relatives aux immobilisations,View,l10n_fr.account_type_view,__account__.account_account_H69,
__account__.account_account_H71,helom.base_company,142300,Provisions reconstitution des gisements miniers et pétroliers,Regular,l10n_fr.account_type_equity,__account__.account_account_H70,
__account__.account_account_H72,helom.base_company,142400,Provisions pour investissement (participation des salariés),Regular,l10n_fr.account_type_equity,__account__.account_account_H70,
__account__.account_account_H73,helom.base_company,143000,Provisions réglementées relatives aux stocks,View,l10n_fr.account_type_view,__account__.account_account_H69,
__account__.account_account_H74,helom.base_company,143100,Hausse des prix,Regular,l10n_fr.account_type_equity,__account__.account_account_H73,
__account__.account_account_H75,helom.base_company,143200,Fluctuation des cours,Regular,l10n_fr.account_type_equity,__account__.account_account_H73,
__account__.account_account_H76,helom.base_company,144000,Provisions réglementées relatives aux autres éléments de l'actif,Regular,l10n_fr.account_type_equity,__account__.account_account_H69,
__account__.account_account_H77,helom.base_company,145000,Amortissements dérogatoires,Regular,l10n_fr.account_type_equity,__account__.account_account_H69,
__account__.account_account_H78,helom.base_company,146000,Provision spéciale de réévaluation,Regular,l10n_fr.account_type_equity,__account__.account_account_H69,
__account__.account_account_H79,helom.base_company,147000,Plus-values réinvesties,Regular,l10n_fr.account_type_equity,__account__.account_account_H69,
__account__.account_account_H80,helom.base_company,148000,Autres provisions réglementées,Regular,l10n_fr.account_type_equity,__account__.account_account_H69,
__account__.account_account_H81,helom.base_company,15,Provisions,View,l10n_fr.account_type_view,__account__.account_account_H3,
__account__.account_account_H82,helom.base_company,151000,Provisions pour risques,View,l10n_fr.account_type_view,__account__.account_account_H81,
__account__.account_account_H83,helom.base_company,151100,Provisions pour litiges,Regular,l10n_fr.account_type_provision,__account__.account_account_H82,
__account__.account_account_H84,helom.base_company,151200,Provisions pour garanties données aux clients,Regular,l10n_fr.account_type_provision,__account__.account_account_H82,
__account__.account_account_H85,helom.base_company,151300,Provisions pour pertes sur marchés à terme,Regular,l10n_fr.account_type_provision,__account__.account_account_H82,
__account__.account_account_H86,helom.base_company,151400,Provisions pour amendes et pénalités,Regular,l10n_fr.account_type_provision,__account__.account_account_H82,
__account__.account_account_H87,helom.base_company,151500,Provisions pour pertes de change,Regular,l10n_fr.account_type_provision,__account__.account_account_H82,
__account__.account_account_H88,helom.base_company,151600,Provisions pour pertes sur contrats,Regular,l10n_fr.account_type_provision,__account__.account_account_H82,
__account__.account_account_H89,helom.base_company,151800,Autres provisions pour risques,Regular,l10n_fr.account_type_provision,__account__.account_account_H82,
__account__.account_account_H90,helom.base_company,153000,Provisions pour pensions et obligations similaires,Regular,l10n_fr.account_type_provision,__account__.account_account_H81,
__account__.account_account_H91,helom.base_company,154000,Provisions pour restructurations,Regular,l10n_fr.account_type_provision,__account__.account_account_H81,
__account__.account_account_H92,helom.base_company,155000,Provisions pour impôts,Regular,l10n_fr.account_type_provision,__account__.account_account_H81,
__account__.account_account_H93,helom.base_company,156000,Provisions pour renouvellement des immobilisations (entreprises concessionnaires),Regular,l10n_fr.account_type_provision,__account__.account_account_H81,
__account__.account_account_H94,helom.base_company,157000,Provisions pour charges à répartir sur plusieurs exercices,View,l10n_fr.account_type_view,__account__.account_account_H81,
__account__.account_account_H95,helom.base_company,157200,Provisions pour gros entretien ou grandes révisions,Regular,l10n_fr.account_type_provision,__account__.account_account_H94,
__account__.account_account_H96,helom.base_company,158000,Autres provisions pour charges,View,l10n_fr.account_type_view,__account__.account_account_H81,
__account__.account_account_H97,helom.base_company,158100,Provisions pour remises en état,Regular,l10n_fr.account_type_provision,__account__.account_account_H96,
__account__.account_account_H98,helom.base_company,16,Emprunts et dettes assimilées,View,l10n_fr.account_type_view,__account__.account_account_H3,
__account__.account_account_H99,helom.base_company,161000,Emprunts obligataires convertibles,Regular,l10n_fr.account_type_dettes,__account__.account_account_H98,
__account__.account_account_H100,helom.base_company,163000,Autres emprunts obligataires,Regular,l10n_fr.account_type_dettes,__account__.account_account_H98,
__account__.account_account_H1391,helom.base_company,164000,Emprunts auprès des établissements de crédit,View,l10n_fr.account_type_view,__account__.account_account_H98,
__account__.account_account_H102,helom.base_company,164100,EMPRUNT CM 45,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H103,helom.base_company,164110,PRET CM 100,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H104,helom.base_company,164200,PRET 08926968,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H105,helom.base_company,164210,PRET LCL 08927722,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H106,helom.base_company,164300,PRET CM 10,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H1219,helom.base_company,164310,EMPRUNT CM 5500,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H107,helom.base_company,164400,PRET CL 0992476,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H108,helom.base_company,164450,PRET LCL 09944282,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H109,helom.base_company,164460,PRET LCL 09944286,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H1220,helom.base_company,164470,PRET LCL 73000,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H1267,helom.base_company,164480,PRET CM 20173301212,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H1272,helom.base_company,164490,PRET CM 20173313 ,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H1285,helom.base_company,164500,PRET LCL 11937210,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H1323,helom.base_company,164510,PRET BPOP 0418088,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H1286,helom.base_company,164520,EFFET CREDIT BANQUE POP,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H1359,helom.base_company,164530,PRET BPOP 7106403,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H1380,helom.base_company,164540,pret oseo 3710734001,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H1382,helom.base_company,164550,PRET BPOP 7109874,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H1394,helom.base_company,164560,pret oseo 371073400202,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H1441,helom.base_company,164570,PRET CIC 1853353659402,Regular,l10n_fr.account_type_dettes,__account__.account_account_H1391,
__account__.account_account_H110,helom.base_company,165000,Dépôts et cautionnements reçus,View,l10n_fr.account_type_view,__account__.account_account_H98,
__account__.account_account_H111,helom.base_company,165100,Dépôts,Regular,l10n_fr.account_type_dettes,__account__.account_account_H110,
__account__.account_account_H112,helom.base_company,165500,Cautionnements,Regular,l10n_fr.account_type_dettes,__account__.account_account_H110,
__account__.account_account_H113,helom.base_company,166000,Participation des salariés aux résultats,View,l10n_fr.account_type_view,__account__.account_account_H98,
__account__.account_account_H114,helom.base_company,166100,Comptes bloqués,Regular,l10n_fr.account_type_dettes,__account__.account_account_H113,
__account__.account_account_H115,helom.base_company,166200,Fonds de participation,Regular,l10n_fr.account_type_dettes,__account__.account_account_H113,
__account__.account_account_H116,helom.base_company,167000,Emprunts et dettes assortis de conditions particulières,View,l10n_fr.account_type_view,__account__.account_account_H98,
__account__.account_account_H117,helom.base_company,167100,Emissions de titres participatifs,Regular,l10n_fr.account_type_dettes,__account__.account_account_H116,
__account__.account_account_H118,helom.base_company,167400,Avances conditionnées de l'État,Regular,l10n_fr.account_type_dettes,__account__.account_account_H116,
__account__.account_account_H119,helom.base_company,167500,Emprunts participatifs,Regular,l10n_fr.account_type_dettes,__account__.account_account_H116,
__account__.account_account_H120,helom.base_company,168000,Autres emprunts et dettes assimilées,View,l10n_fr.account_type_view,__account__.account_account_H98,
__account__.account_account_H121,helom.base_company,168100,Autres emprunts,Regular,l10n_fr.account_type_dettes,__account__.account_account_H120,
__account__.account_account_H122,helom.base_company,168500,Rentes viagères capitalisées,Regular,l10n_fr.account_type_dettes,__account__.account_account_H120,
__account__.account_account_H123,helom.base_company,168700,Autres dettes,Regular,l10n_fr.account_type_dettes,__account__.account_account_H120,
__account__.account_account_H124,helom.base_company,168800,Intérêts courus,View,l10n_fr.account_type_view,__account__.account_account_H120,
__account__.account_account_H125,helom.base_company,168810,Sur emprunts obligataires convertibles,Regular,l10n_fr.account_type_dettes,__account__.account_account_H124,
__account__.account_account_H126,helom.base_company,168830,Sur autres emprunts obligataires,Regular,l10n_fr.account_type_dettes,__account__.account_account_H124,
__account__.account_account_H127,helom.base_company,168840,Sur emprunts auprès des établissements de crédit,Regular,l10n_fr.account_type_dettes,__account__.account_account_H124,
__account__.account_account_H128,helom.base_company,168850,Sur dépôts et cautionnements reçus,Regular,l10n_fr.account_type_dettes,__account__.account_account_H124,
__account__.account_account_H129,helom.base_company,168860,Sur participation des salariés aux résultats,Regular,l10n_fr.account_type_dettes,__account__.account_account_H124,
__account__.account_account_H130,helom.base_company,168870,Sur emprunts et dettes assortis de conditions particulières,Regular,l10n_fr.account_type_dettes,__account__.account_account_H124,
__account__.account_account_H131,helom.base_company,168880,Sur autres emprunts et dettes assimilées,Regular,l10n_fr.account_type_dettes,__account__.account_account_H124,
__account__.account_account_H132,helom.base_company,169000,Primes de remboursement des obligations,Regular,l10n_fr.account_type_dettes,__account__.account_account_H98,
__account__.account_account_H133,helom.base_company,17,Dettes rattachées à des participations,View,l10n_fr.account_type_view,__account__.account_account_H3,
__account__.account_account_H134,helom.base_company,171000,Dettes rattachées à des participations (groupe),Regular,l10n_fr.account_type_dettes,__account__.account_account_H133,
__account__.account_account_H135,helom.base_company,174000,Dettes rattachées à des participations (hors groupe),Regular,l10n_fr.account_type_dettes,__account__.account_account_H133,
__account__.account_account_H136,helom.base_company,178000,Dettes rattachées à des sociétés en participation,View,l10n_fr.account_type_view,__account__.account_account_H133,
__account__.account_account_H137,helom.base_company,178100,Principal,Regular,l10n_fr.account_type_dettes,__account__.account_account_H136,
__account__.account_account_H138,helom.base_company,178800,Intérêts courus,Regular,l10n_fr.account_type_dettes,__account__.account_account_H136,
__account__.account_account_H139,helom.base_company,18,Comptes de liaison des établissements et sociétés en participation,View,l10n_fr.account_type_view,__account__.account_account_H3,
__account__.account_account_H140,helom.base_company,181000,Comptes de liaison des établissements,Regular,l10n_fr.account_type_dettes,__account__.account_account_H139,
__account__.account_account_H141,helom.base_company,186000,Biens et prestations de services échangés entre établissements (charges),Regular,l10n_fr.account_type_dettes,__account__.account_account_H139,
__account__.account_account_H142,helom.base_company,187000,Biens et prestations de services échangés entre établissements (produits),Regular,l10n_fr.account_type_dettes,__account__.account_account_H139,
__account__.account_account_H143,helom.base_company,188000,Comptes de liaison des sociétés en participation,Regular,l10n_fr.account_type_dettes,__account__.account_account_H139,
__account__.account_account_H144,helom.base_company,Classe 2,Comptes d'immobilisations,View,l10n_fr.account_type_view,__account__.account_account_H2,
__account__.account_account_H145,helom.base_company,2,Immobilisations incorporelles,View,l10n_fr.account_type_view,__account__.account_account_H144,
__account__.account_account_H146,helom.base_company,201000,Frais d'établissement,View,l10n_fr.account_type_view,__account__.account_account_H145,
__account__.account_account_H147,helom.base_company,201100,Frais de constitution,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H146,
__account__.account_account_H148,helom.base_company,201200,Frais de premier établissement,View,l10n_fr.account_type_view,__account__.account_account_H146,
__account__.account_account_H149,helom.base_company,201210,Frais de prospection,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H148,
__account__.account_account_H150,helom.base_company,201220,Frais de publicité,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H148,
__account__.account_account_H151,helom.base_company,201300,"Frais d'augmentation de capital et d'opérations diverses (fusions, scissions, transformations)",Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H146,
__account__.account_account_H152,helom.base_company,203000,Frais de recherche et de développement,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H145,
__account__.account_account_H153,helom.base_company,205000,"Concessions et droits similaires, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires",Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H145,
__account__.account_account_H154,helom.base_company,206000,Droit au bail,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H145,
__account__.account_account_H155,helom.base_company,207000,Fonds commercial,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H145,
__account__.account_account_H156,helom.base_company,208000,Autres immobilisations incorporelles,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H145,
__account__.account_account_H157,helom.base_company,21,Immobilisations corporelles,View,l10n_fr.account_type_view,__account__.account_account_H144,
__account__.account_account_H158,helom.base_company,211000,Terrains,View,l10n_fr.account_type_view,__account__.account_account_H157,
__account__.account_account_H159,helom.base_company,211100,Terrains nus,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H158,
__account__.account_account_H160,helom.base_company,211200,Terrains aménagés,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H158,
__account__.account_account_H161,helom.base_company,211300,Sous-sols et sur-sols,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H158,
__account__.account_account_H162,helom.base_company,211400,Terrains de gisement,View,l10n_fr.account_type_view,__account__.account_account_H158,
__account__.account_account_H163,helom.base_company,211410,Carrières,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H162,
__account__.account_account_H164,helom.base_company,211500,Terrains bâtis,View,l10n_fr.account_type_view,__account__.account_account_H158,
__account__.account_account_H165,helom.base_company,211510,"Ensembles immobiliers industriels (A, B, ...)",Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H164,
__account__.account_account_H166,helom.base_company,211550,"Ensembles immobiliers administratifs et commerciaux (A, B, ...)",Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H164,
__account__.account_account_H167,helom.base_company,211580,Autres ensembles immobiliers,View,l10n_fr.account_type_view,__account__.account_account_H164,
__account__.account_account_H168,helom.base_company,211581,"Affectés aux opérations professionnelles (A, B, ...)",Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H167,
__account__.account_account_H169,helom.base_company,211588,"Affectés aux opérations non professionnelles (A, B, ...)",Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H167,
__account__.account_account_H170,helom.base_company,211600,Compte d'ordre sur immobilisations,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H158,
__account__.account_account_H171,helom.base_company,212000,Agencements et aménagements de terrains (même ventilation que celle du compte 211),Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H157,
__account__.account_account_H172,helom.base_company,213000,Constructions,View,l10n_fr.account_type_view,__account__.account_account_H157,
__account__.account_account_H173,helom.base_company,213100,Bâtiments,View,l10n_fr.account_type_view,__account__.account_account_H172,
__account__.account_account_H174,helom.base_company,213110,"Ensembles immobiliers industriels (A, B, ...)",Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H173,
__account__.account_account_H175,helom.base_company,213150,"Ensembles immobiliers administratifs et commerciaux (A, B, ...)",Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H173,
__account__.account_account_H176,helom.base_company,213180,Autres ensembles immobiliers,View,l10n_fr.account_type_view,__account__.account_account_H173,
__account__.account_account_H177,helom.base_company,213181,"Affectés aux opérations professionnelles (A, B, ...)",Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H176,
__account__.account_account_H178,helom.base_company,213188,"Affectés aux opérations non professionnelles (A, B, ...)",Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H176,
__account__.account_account_H179,helom.base_company,213500,Installations générales agencements aménagements des constructions (même ventilation que celle du compte 2131),Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H172,
__account__.account_account_H180,helom.base_company,213800,Ouvrages d'infrastructure,View,l10n_fr.account_type_view,__account__.account_account_H172,
__account__.account_account_H181,helom.base_company,213810,Voies de terre,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H180,
__account__.account_account_H182,helom.base_company,213820,Voies de fer,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H180,
__account__.account_account_H183,helom.base_company,213830,Voies d'eau,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H180,
__account__.account_account_H184,helom.base_company,213840,Barrages,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H180,
__account__.account_account_H185,helom.base_company,213850,Pistes d'aérodromes,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H180,
__account__.account_account_H186,helom.base_company,214000,Constructions sur sol d'autrui (même ventilation que celle du compte 213),Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H157,
__account__.account_account_H1221,helom.base_company,214500,Agencement,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H157,
__account__.account_account_H187,helom.base_company,215000,Installations techniques matériels et outillages industriels,View,l10n_fr.account_type_view,__account__.account_account_H157,
__account__.account_account_H188,helom.base_company,215100,Installations complexes spécialisées,View,l10n_fr.account_type_view,__account__.account_account_H187,
__account__.account_account_H189,helom.base_company,215110,Sur sol propre,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H188,
__account__.account_account_H190,helom.base_company,215140,Sur sol d'autrui,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H188,
__account__.account_account_H191,helom.base_company,215300,Installations à caractère spécifique,View,l10n_fr.account_type_view,__account__.account_account_H187,
__account__.account_account_H192,helom.base_company,215310,Sur sol propre,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H191,
__account__.account_account_H193,helom.base_company,215340,Sur sol d'autrui,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H191,
__account__.account_account_H194,helom.base_company,215400,Matériel industriel,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H187,
__account__.account_account_H195,helom.base_company,215500,Outillage industriel,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H187,
__account__.account_account_H196,helom.base_company,215700,Agencements et aménagements du matériel et outillage industriels,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H187,
__account__.account_account_H197,helom.base_company,218000,Autres immobilisations corporelles,View,l10n_fr.account_type_view,__account__.account_account_H157,
__account__.account_account_H198,helom.base_company,218100,Installations générales agencements aménagements divers,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H197,
__account__.account_account_H199,helom.base_company,218200,Matériel de transport,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H197,
__account__.account_account_H200,helom.base_company,218300,Matériel de bureau et matériel informatique,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H197,
__account__.account_account_H201,helom.base_company,218400,Mobilier,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H197,
__account__.account_account_H202,helom.base_company,218500,Cheptel,Regular,l10n_fr.account_type_immobilisations,__account__.account_account_H197,
